col1,col2,draco_score,concept,Result
wind,weather,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
wind,weather,14,efficiency,"[1, 1, 1, 1, 1, 1, 0.5, 1]"
wind,weather,14,engagement,"[0.5, 0, 0.5, 1, 0.5, 0.5]"
wind,weather,14,data_ink_ratio,"[1, 1, 0.5, 1, 1, 1, 1, 1, 1]"
wind,weather,14,gestalt_principles,"[1, 1, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
date,precipitation,12,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
date,precipitation,12,efficiency,"[0.5, 0.5, 1, 0, 1, 1, 0.5, 1]"
date,precipitation,12,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
date,precipitation,12,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
date,precipitation,12,gestalt_principles,"[0, 0, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
date,weather,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
date,weather,14,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
date,weather,14,engagement,"[0.5, 0.5, 0.5, 1, 0.5, 0.5]"
date,weather,14,data_ink_ratio,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
date,weather,14,gestalt_principles,"[1, 1, 0.5, 1, 1, 0.5, 1, 1, 0.5, 1]"
LLM_date,LLM_precipitation,LLM_12,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
LLM_date,LLM_precipitation,LLM_12,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
LLM_date,LLM_precipitation,LLM_12,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
LLM_date,LLM_precipitation,LLM_12,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
LLM_date,LLM_precipitation,LLM_12,gestalt_principles,"[0, 0, 0, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
precipitation,wind,12,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
precipitation,wind,12,efficiency,"[1, 0.5, 1, 1, 1, 1, 1, 1]"
precipitation,wind,12,engagement,"[1, 0.5, 1, 1, 0.5, 0.5]"
precipitation,wind,12,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
precipitation,wind,12,gestalt_principles,"[1, 1, 0.5, 1, 1, 1, 1, 1, 0.5, 0.5]"
temp_min,weather,16,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_min,weather,16,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
temp_min,weather,16,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
temp_min,weather,16,data_ink_ratio,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_min,weather,16,gestalt_principles,"[1, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
temp_max,wind,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_max,wind,14,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
temp_max,wind,14,engagement,"[0.5, 0, 0.5, 1, 0, 0]"
temp_max,wind,14,data_ink_ratio,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_max,wind,14,gestalt_principles,"[0.5, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
date,wind,12,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
date,wind,12,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 0.5]"
date,wind,12,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
date,wind,12,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
date,wind,12,gestalt_principles,"[0, 0.5, 0, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
temp_max,temp_min,16,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 0.5, 1]"
temp_max,temp_min,16,efficiency,"[1, 1, 1, 1, 1, 1, 1, 1]"
temp_max,temp_min,16,engagement,"[1, 0.5, 1, 1, 1, 0.5]"
temp_max,temp_min,16,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
temp_max,temp_min,16,gestalt_principles,"[1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1]"
temp_max,weather,16,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_max,weather,16,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
temp_max,weather,16,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
temp_max,weather,16,data_ink_ratio,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_max,weather,16,gestalt_principles,"[1, 0.5, 0.5, 1, 1, 1, 1, 1, 1, 1]"
precipitation,temp_max,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
precipitation,temp_max,14,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
precipitation,temp_max,14,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
precipitation,temp_max,14,data_ink_ratio,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
precipitation,temp_max,14,gestalt_principles,"[0, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
precipitation,temp_min,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
precipitation,temp_min,14,efficiency,"[0.5, 0.5, 1, 0, 1, 1, 0.5, 1]"
precipitation,temp_min,14,engagement,"[0.5, 0, 0.5, 1, 0, 0]"
precipitation,temp_min,14,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
precipitation,temp_min,14,gestalt_principles,"[0, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
temp_min,wind,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
temp_min,wind,14,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
temp_min,wind,14,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
temp_min,wind,14,data_ink_ratio,"[1, 1, 0, 0.5, 1, 1, 1, 1, 1]"
temp_min,wind,14,gestalt_principles,"[0.5, 0.5, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
precipitation,weather,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
precipitation,weather,14,efficiency,"[0.5, 0.5, 1, 0.5, 1, 1, 0.5, 1]"
precipitation,weather,14,engagement,"[0.5, 0, 0.5, 1, 0.5, 0]"
precipitation,weather,14,data_ink_ratio,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
precipitation,weather,14,gestalt_principles,"[1, 1, 0.5, 1, 1, 0.5, 1, 1, 0.5, 0.5]"
date,temp_min,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
date,temp_min,14,efficiency,"[0, 0, 1, 0, 1, 1, 0.5, 1]"
date,temp_min,14,engagement,"[0, 0, 0, 1, 0, 0]"
date,temp_min,14,data_ink_ratio,"[1, 1, 1, 0.5, 1, 0, 1, 1, 1]"
date,temp_min,14,gestalt_principles,"[0.5, 0.5, 0, 1, 1, 0, 1, 1, 0.5, 0.5]"
date,temp_max,14,expressiveness,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
date,temp_max,14,efficiency,"[1, 1, 1, 1, 1, 1, 1, 1]"
date,temp_max,14,engagement,"[1, 0.5, 1, 1, 1, 0.5]"
date,temp_max,14,data_ink_ratio,"[1, 1, 1, 0.5, 1, 1, 1, 1, 1]"
date,temp_max,14,gestalt_principles,"[1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1]"
